autor,nazwa,opis,poziom_trudnosci,procedura_wykonania,kalorycznosc,obraz
2,Spaghetti Bolognese,Klasyczne danie włoskie z makaronem i sosem mięsnym.,3,"1. Ugotuj makaron al dente. 2. Przygotuj sos: podsmaż mięso mielone z cebulą, czosnkiem i pomidorami. 3. Dopraw solą, pieprzem i przyprawami. 4. Podawaj na ugotowanym makaronie.",600,https://uwielbiam.pl/_next/image?url=https%3A%2F%2Fsaproduwielbiaplmmedia.blob.core.windows.net%2Fmedia%2Frecipes%2Fimages%2F1699973160930.jpeg&w=3840&q=75
1,Kurczak z warzywami,Pyszne danie z pieczonego kurczaka i świeżymi warzywami.,2,1. Przygotuj kurczaka i warzywa. 2. Włóż do piekarnika na 30 minut. 3. Gotowe do podania.,450,https://cdn.galleries.smcloud.net/t/galleries/gf-xVVK-1u4m-KSS8_kurczak-duszony-z-warzywami-zrobisz-go-zanim-ugotuje-sie-ryz-664x442-nocrop.jpg
2,Sałatka grecka,"Tradycyjna grecka sałatka z pomidorami, ogórkiem, oliwkami i serem feta.",1,1. Pokrój warzywa i ser feta. 2. Wymieszaj składniki. 3. Skrop oliwą z oliwek i dopraw solą i pieprzem.,300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAKADx37BBqeOjBrpz-fuU81ByV-_NaII-lw&s
1,Krem z dyni,"Delikatna kremowa zupa z dyni, idealna na chłodne dni.",2,1. Obierz i pokrój dynię. 2. Gotuj w bulionie warzywnym. 3. Zmiksuj na gładki krem. 4. Podawaj z grzankami.,250,https://s3.przepisy.pl/przepisy3ii/img/variants/800x0/zupa_krem_z_dyni_z_karmelizowanym_jablkiem_i_pieczonymi_orzechami892129.jpg
1,Kotlet schabowy,Polski klasyk - kotlet schabowy z ziemniakami i surówką.,3,1. Rozbij kotlety schabowe. 2. Panieruj w jajku i bułce tartej. 3. Smaż na złoty kolor. 4. Podawaj z ziemniakami i surówką.,700,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIiVg24KliF6X_ax2A6gfNKvguCBWNl7ym9A&s
1,Tarta z owocami,Deser z kruchego ciasta i sezonowych owoców.,2,1. Przygotuj ciasto i rozwałkuj je. 2. Ułóż owoce na cieście. 3. Posyp cukrem. 4. Piecz w piekarniku. 5. Podawaj na zimno.,400,https://recipesblob.oetker.pl/assets/6a554046653f4a8bb46b5f9017327489/1272x764/tarta-z-owocamijpg.jpg
2,Risotto z grzybami,Kremowe risotto z dodatkiem aromatycznych grzybów.,2,"1. Podsmaż cebulę i czosnek. 2. Dodaj ryż i gotuj na małym ogniu, dodając bulion warzywny stopniowo. 3. Na koniec dodaj pokrojone grzyby i parmezan.",500,https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/5C3BD968-E556-47CE-8D9E-9330A7538EE6/Derivates/2f8304d5-227f-47c4-b7c9-78333ba2ab41.jpg
4,Krewetki po tajsku,Ostry i aromatyczny obiad z krewetkami i warzywami.,3,"1. Podsmaż cebulę, czosnek, chili i imbiry. 2. Dodaj krewetki i warzywa. 3. Dopraw sosem sojowym i limonką. 4. Podawaj z ryżem.",350,https://www.mojegotowanie.pl/media/cache/big/uploads/media/recipe/0002/25/krewetki-po-tajsku.jpeg
2,Pieczone ziemniaki,Prosty przepis na chrupiące pieczone ziemniaki.,1,1. Pokrój ziemniaki w ósemki. 2. Polej oliwą z oliwek i dopraw solą oraz pieprzem. 3. Piecz w piekarniku do zrumienienia.,200,https://cdn.galleries.smcloud.net/t/galleries/gf-jRMb-aEXQ-bPyD_ziemniaki-pieczone-po-grecku-tak-pyszne-ze-nie-trzeba-nic-wiecej-664x442-nocrop.jpg
2,Naleśniki z serem,"Polskie naleśniki z serem, idealne na słodko lub na słono.",2,1. Przygotuj ciasto na naleśniki. 2. Smaż cienkie naleśniki. 3. Nadziewaj serem twarogowym lub innymi dodatkami. 4. Składaj i podawaj z cukrem pudrem lub sosem owocowym.,300,https://naukajedzenia.pl/wp-content/uploads/2022/06/nalesniki-z-twarogiem-na-slodko-4-1024x767.jpg
2,Zupa pomidorowa,Klasyczna zupa pomidorowa z ryżem i śmietaną.,1,1. Podsmaż cebulę i czosnek. 2. Dodaj pomidory i gotuj. 3. Dodaj ugotowany ryż. 4. Dopraw i dodaj śmietanę przed podaniem.,250,https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/AF530EE2-91C9-4964-AB81-8EC3AD5C0788/Derivates/41DDA174-8F07-4BE6-B763-06438A86065B.jpg
1,Placki ziemniaczane,"Tradycyjne placki ziemniaczane, idealne jako dodatek do obiadu.",2,1. Zetrzyj ziemniaki i cebulę. 2. Wyciśnij nadmiar płynu. 3. Dodaj jajko i mąkę. 4. Smaż na złoty kolor.,400,https://smaki.pl/_thumb/ba/ed/57831b88fde2a6ba032c523e1ab2.jpeg
1,Kluski śląskie,Polskie kluski śląskie z sosem pieczeniowym.,3,1. Ugotuj kluski z mąki ziemniaczanej. 2. Podawaj z sosem z pieczeniowej.,350,https://static.gotujmy.pl/ZDJECIE_PRZEPISU_ETAP/kluski-slaskie-z-sosem-pieczeniowym-29341.jpg
4,Kotleciki z indyka,"Lekkie kotleciki z mięsa indyczego, idealne dla dzieci.",2,1. Rozbij mięso z indyka. 2. Panieruj w jajku i bułce tartej. 3. Smaż na złoty kolor. 4. Podawaj z warzywami.,300,https://cdn.galleries.smcloud.net/t/galleries/gf-BCJ3-P2sD-XZoB_soczyste-mielone-z-indyka-z-majonezem-palce-lizac-664x442-nocrop.jpg
3,Sałatka Cezar,Klasyczna sałatka Cezar z kurczakiem i grzankami.,2,"1. Przygotuj sałatę, kurczaka i grzanki. 2. Wymieszaj z sosem Cezar. 3. Posyp startym parmezanem.",400,https://cdn.galleries.smcloud.net/t/photos/gf-PdMK-e2Bz-sqYA_salatka-cezar-z-kurczakiem-wedlug-magdy-gessler-z-kuchennych-rewolucji-w-barze-kwadratowy-talerz.jpg
